2023-11-07T13:07:22.185328-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: Linux raspberrypi 6.1.0-rpi4-rpi-v8 #1 SMP PREEMPT Debian 1:6.1.54-1+rpt2 (2023-10-05) aarch64 GNU/Linux
2023-11-07T13:07:22.196298-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10067, nsec=10067500, sec=0.010067500
2023-11-07T13:07:22.953216-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10062, nsec=10062448, sec=0.010062448
2023-11-07T13:07:22.963780-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10126, nsec=10126979, sec=0.010126979
2023-11-07T13:07:22.974325-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10084, nsec=10084271, sec=0.010084271
2023-11-07T13:07:22.984844-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10065, nsec=10065052, sec=0.010065052
2023-11-07T13:07:22.995491-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10068, nsec=10068229, sec=0.010068229
2023-11-07T13:07:23.005986-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10063, nsec=10063072, sec=0.010063072
2023-11-07T13:07:23.016485-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10092, nsec=10092240, sec=0.010092240
2023-11-07T13:07:23.027011-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10067, nsec=10067083, sec=0.010067083
2023-11-07T13:07:23.038215-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10089, nsec=10089375, sec=0.010089375
2023-11-07T13:07:23.048299-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10065, nsec=10065989, sec=0.010065989
2023-11-07T13:07:23.058552-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10060, nsec=10060208, sec=0.010060208
2023-11-07T13:07:23.069015-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10055, nsec=10055417, sec=0.010055417
2023-11-07T13:07:23.079575-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10056, nsec=10056250, sec=0.010056250
2023-11-07T13:07:23.090035-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10077, nsec=10077656, sec=0.010077656
2023-11-07T13:07:23.100535-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10074, nsec=10074740, sec=0.010074740
2023-11-07T13:07:23.111030-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10095, nsec=10095468, sec=0.010095468
2023-11-07T13:07:23.121553-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10068, nsec=10068750, sec=0.010068750
2023-11-07T13:07:23.131981-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10061, nsec=10061459, sec=0.010061459
2023-11-07T13:07:23.142445-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10083, nsec=10083073, sec=0.010083073
2023-11-07T13:07:23.152980-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10082, nsec=10082187, sec=0.010082187
2023-11-07T13:07:23.163454-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10074, nsec=10074948, sec=0.010074948
2023-11-07T13:07:23.173905-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10065, nsec=10065261, sec=0.010065261
2023-11-07T13:07:23.185537-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10070, nsec=10070417, sec=0.010070417
2023-11-07T13:07:23.195077-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10094, nsec=10094792, sec=0.010094792
2023-11-07T13:07:23.205311-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10070, nsec=10070312, sec=0.010070312
2023-11-07T13:07:23.215800-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10100, nsec=10100417, sec=0.010100417
2023-11-07T13:07:23.226272-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10061, nsec=10061355, sec=0.010061355
2023-11-07T13:07:23.236752-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10069, nsec=10069948, sec=0.010069948
